GENE,SCORE,Mutation,Expression hub,Regulator,Genomic abnormalities (CNV),meEthylation,#SIGPVALS
IRF8,11.8052,0,202,1,0,0.149349,7
RAB37,11.5381,0,224,1,0,0.464152,23
RAB27A,11.512,0,188,1,0,0.043692,0
ZNF521,10.9736,0,175,1,0,0,0
ZNF185,10.3497,0,164,1,1,0,0
IVNS1ABP,10.0867,0,161,1,0,0.0156997,26
PTPN22,9.86806,0,160,1,0,0.0485564,0
ELF4,9.58079,1.42366,153,1,0,0,0
MAP4K1,9.57663,0,154,1,1,0.0397485,15
CDCA7L,9.54905,0,152,1,1,0.0217297,3
RNF130,9.28081,0,148,1,0,0.0266633,20
ANXA3,9.06407,0,142,1,0,0,0
DGKZ,8.79074,0,148,1,0,0.126836,4
PFDN5,8.5525,0,136,1,0,0.0336031,0
PRKCH,8.39943,0,132,1,0,0.0175821,0
RPS3,8.34908,0,131,1,0,0.0160479,20
EDF1,8.31186,0,129,1,0,0,0
PRDX3,8.28305,0,131,1,0,0.029544,0
DDX21,8.24732,0,130,1,0,0.0250188,0
MEF2C,8.10205,0,128,1,0,0.0310582,0
RPS14,8.09878,0,127,1,0,0.0199,14
CDA,8.0804,0,125,1,0,0,0
MAP3K1,8.0804,0,125,1,0,0,0
RAB32,7.99876,0,128,1,0,0.0521704,0
HNRNPA1,7.99667,0,127,1,0,0.0407699,21
GATAD1,7.91328,0,123,1,1,0.0130915,3
BTF3,7.82028,0,122,1,0,0.0176895,13
CEBPA,7.77054,14.6757,143,1,1,0.0264371,5
ENO1,7.77037,0,121,1,0,0.0160611,0
MTDH,7.56036,0,120,1,1,0.0497483,0
KDM2B,7.50839,0.609065,116,1,0,0,0
ZBTB4,7.4328,0,116,1,0,0.0259264,0
FLNA,7.34083,0,112,1,1,0,0
CCNDBP1,7.33299,0,148,1,0,0.424802,0
MBD2,7.26478,0,113,1,0,0.0247885,0
EIF2C2,7.25992,0,112,1,0,0.0139538,0
